ID_plot_subplot.x	Zone	Treatment	Plot	Subplot	Depth	mean_ri	se_ri	elevation_raw	ID_plot_subplot.y	elevation	elevation_coeff
120G6	PZ	ambient	120	G6	60-70 cm	0.857551125460831	0.0424005028896015	-0.42	120G6	-1.02	0.6
120G6	PZ	ambient	120	G6	70-80 cm	0.765862768284447	0.0502066802480671	-0.42	120G6	-1.12	0.7
121A6	PZ	+1.5°C	121	A6	0-10 cm	0.116800400769225	0.0173909124908982	-0.39	121A6	-0.39	0
121A6	PZ	+1.5°C	121	A6	10-20 cm	0.221572750683237	0.0357731294021218	-0.39	121A6	-0.49	0.1
121A6	PZ	+1.5°C	121	A6	20-30 cm	0.426237588181261	0.0671049278006737	-0.39	121A6	-0.59	0.2
121A6	PZ	+1.5°C	121	A6	30-40 cm	0.725136292226673	0.062348469145688	-0.39	121A6	-0.69	0.3
121A6	PZ	+1.5°C	121	A6	40-50 cm	0.788693383085655	0.058599250215403	-0.39	121A6	-0.79	0.4
121A6	PZ	+1.5°C	121	A6	50-60 cm	0.906756546779898	0.0274780417910085	-0.39	121A6	-0.89	0.5
121A6	PZ	+1.5°C	121	A6	60-70 cm	0.904063818689786	0.0254424908548747	-0.39	121A6	-0.99	0.6
121A6	PZ	+1.5°C	121	A6	70-80 cm	0.753789267261488	0.0411495306003025	-0.39	121A6	-1.09	0.7
121G6	PZ	+1.5°C	121	G6	0-10 cm	0.12223936521776	0.0280137413892454	-0.39	121G6	-0.39	0
121G6	PZ	+1.5°C	121	G6	10-20 cm	0.264994190929257	0.0554515918964879	-0.39	121G6	-0.49	0.1
121G6	PZ	+1.5°C	121	G6	20-30 cm	0.448148098369801	0.0722787289740005	-0.39	121G6	-0.59	0.2
121G6	PZ	+1.5°C	121	G6	30-40 cm	0.585030136649191	0.0761535087636226	-0.39	121G6	-0.69	0.3
121G6	PZ	+1.5°C	121	G6	40-50 cm	0.744730488811012	0.0708867487363967	-0.39	121G6	-0.79	0.4
121G6	PZ	+1.5°C	121	G6	50-60 cm	0.755435797951399	0.0638655020615197	-0.39	121G6	-0.89	0.5
121G6	PZ	+1.5°C	121	G6	60-70 cm	0.696758225445652	0.0752748599988331	-0.39	121G6	-0.99	0.6
121G6	PZ	+1.5°C	121	G6	70-80 cm	0.622431049277444	0.0876836056027281	-0.39	121G6	-1.09	0.7
122A6	PZ	+3.0°C	122	A6	0-10 cm	0.151472619660369	0.0288457863606303	-0.3	122A6	-0.3	0
122A6	PZ	+3.0°C	122	A6	10-20 cm	0.411424702232711	0.0574086684806308	-0.3	122A6	-0.4	0.1
122A6	PZ	+3.0°C	122	A6	20-30 cm	0.727277435791337	0.0615547803852333	-0.3	122A6	-0.5	0.2
122A6	PZ	+3.0°C	122	A6	30-40 cm	0.775332728809747	0.0747247846159746	-0.3	122A6	-0.6	0.3
122A6	PZ	+3.0°C	122	A6	40-50 cm	0.803242049423492	0.0678581400398554	-0.3	122A6	-0.7	0.4
122A6	PZ	+3.0°C	122	A6	50-60 cm	0.856513176037502	0.0620050289587575	-0.3	122A6	-0.8	0.5
122A6	PZ	+3.0°C	122	A6	60-70 cm	0.896506373478795	0.0457853643878799	-0.3	122A6	-0.9	0.6
122A6	PZ	+3.0°C	122	A6	70-80 cm	0.753549870950826	0.0436969110003727	-0.3	122A6	-1	0.7
122G6	PZ	+3.0°C	122	G6	0-10 cm	0.207614992346376	0.0450679677639307	-0.35	122G6	-0.35	0
122G6	PZ	+3.0°C	122	G6	10-20 cm	0.458899119371697	0.0730061375130697	-0.35	122G6	-0.45	0.1
122G6	PZ	+3.0°C	122	G6	20-30 cm	0.703426826658692	0.0764856041723586	-0.35	122G6	-0.55	0.2
122G6	PZ	+3.0°C	122	G6	30-40 cm	0.746033759909303	0.0715731887329438	-0.35	122G6	-0.65	0.3
122G6	PZ	+3.0°C	122	G6	40-50 cm	0.747024663326356	0.0697931436923906	-0.35	122G6	-0.75	0.4
122G6	PZ	+3.0°C	122	G6	50-60 cm	0.752135709756582	0.0675052670818978	-0.35	122G6	-0.85	0.5
122G6	PZ	+3.0°C	122	G6	60-70 cm	0.786287545695702	0.0585534314938632	-0.35	122G6	-0.95	0.6
122G6	PZ	+3.0°C	122	G6	70-80 cm	0.532872703674644	0.076000475882772	-0.35	122G6	-1.05	0.7
130A6	PZ	ambient	130	A6	0-10 cm	0.0929641805743043	0.0247373910170978	-0.24	130A6	-0.24	0
130A6	PZ	ambient	130	A6	10-20 cm	0.232941004876897	0.0574585738480624	-0.24	130A6	-0.34	0.1
130A6	PZ	ambient	130	A6	20-30 cm	0.401098539513026	0.0702183967452429	-0.24	130A6	-0.44	0.2
130A6	PZ	ambient	130	A6	30-40 cm	0.608928307083431	0.0791615726656619	-0.24	130A6	-0.54	0.3
130A6	PZ	ambient	130	A6	40-50 cm	0.703038286766265	0.0645563596073454	-0.24	130A6	-0.64	0.4
130A6	PZ	ambient	130	A6	50-60 cm	0.801387968537375	0.066137407203601	-0.24	130A6	-0.74	0.5
130A6	PZ	ambient	130	A6	60-70 cm	0.749792393012003	0.0757980195344277	-0.24	130A6	-0.84	0.6
130A6	PZ	ambient	130	A6	70-80 cm	0.694917846055151	0.0771569099183013	-0.24	130A6	-0.94	0.7
130G6	PZ	ambient	130	G6	0-10 cm	0.305472194003905	0.0540342800911057	-0.34	130G6	-0.34	0
130G6	PZ	ambient	130	G6	10-20 cm	0.492461882765907	0.0698999729734495	-0.34	130G6	-0.44	0.1
130G6	PZ	ambient	130	G6	20-30 cm	0.586454428917399	0.0817246330223681	-0.34	130G6	-0.54	0.2
130G6	PZ	ambient	130	G6	30-40 cm	0.541495657813784	0.079828854629529	-0.34	130G6	-0.64	0.3
130G6	PZ	ambient	130	G6	40-50 cm	0.624340496800371	0.0838392437182482	-0.34	130G6	-0.74	0.4
130G6	PZ	ambient	130	G6	50-60 cm	0.487542773026757	0.0904757978486929	-0.34	130G6	-0.84	0.5
130G6	PZ	ambient	130	G6	60-70 cm	0.446307592946071	0.089537243502612	-0.34	130G6	-0.94	0.6
130G6	PZ	ambient	130	G6	70-80 cm	0.296418560317825	0.0703380332077326	-0.34	130G6	-1.04	0.7
131A6	PZ	+1.5°C	131	A6	0-10 cm	0.172988557351997	0.0361384165987274	-0.37	131A6	-0.37	0
131A6	PZ	+1.5°C	131	A6	10-20 cm	0.414200606472617	0.0691329446209015	-0.37	131A6	-0.47	0.1
131A6	PZ	+1.5°C	131	A6	20-30 cm	0.663961698525046	0.0808760012767479	-0.37	131A6	-0.57	0.2
131A6	PZ	+1.5°C	131	A6	30-40 cm	0.820596684166547	0.0572855002771911	-0.37	131A6	-0.67	0.3
131A6	PZ	+1.5°C	131	A6	40-50 cm	0.901289668758866	0.0403570262626698	-0.37	131A6	-0.77	0.4
131A6	PZ	+1.5°C	131	A6	50-60 cm	0.95071443835116	0.0175043032560727	-0.37	131A6	-0.87	0.5
131A6	PZ	+1.5°C	131	A6	60-70 cm	0.9432134944972	0.017504308850216	-0.37	131A6	-0.97	0.6
131A6	PZ	+1.5°C	131	A6	70-80 cm	0.870390754804516	0.0325292474614379	-0.37	131A6	-1.07	0.7
131G6	PZ	+1.5°C	131	G6	0-10 cm	0.228492205061945	0.0599838523595206	-0.4	131G6	-0.4	0
131G6	PZ	+1.5°C	131	G6	10-20 cm	0.432258570662748	0.0754947659496506	-0.4	131G6	-0.5	0.1
131G6	PZ	+1.5°C	131	G6	20-30 cm	0.600379494644151	0.0905201917384133	-0.4	131G6	-0.6	0.2
131G6	PZ	+1.5°C	131	G6	30-40 cm	0.64552104167606	0.0824469803870878	-0.4	131G6	-0.7	0.3
131G6	PZ	+1.5°C	131	G6	40-50 cm	0.664349869889266	0.0827382215419319	-0.4	131G6	-0.8	0.4
131G6	PZ	+1.5°C	131	G6	50-60 cm	0.670157768685927	0.08302095890672	-0.4	131G6	-0.9	0.5
131G6	PZ	+1.5°C	131	G6	60-70 cm	0.635650400448904	0.0843089457588262	-0.4	131G6	-1	0.6
131G6	PZ	+1.5°C	131	G6	70-80 cm	0.511491199829766	0.0757663873903561	-0.4	131G6	-1.1	0.7
132A6	PZ	+3.0°C	132	A6	0-10 cm	0.178586404976724	0.0426123966901977	-0.47	132A6	-0.47	0
