plot	zone	treatment	increment	n	mean	sd	se	ci
261	LM	+1.5°C	30-40 cm	8	0.984238169566202	0.0301208608570945	0.010649332483614	0.0251816698540285
261	LM	+1.5°C	40-50 cm	8	0.992944913584967	0.00818218940275043	0.00289284080581877	0.00684048152543627
261	LM	+1.5°C	50-60 cm	8	0.902439510497807	0.117877844543717	0.041676111614258	0.0985483442351621
261	LM	+1.5°C	60-70 cm	8	0.743039901029065	0.140086663484209	0.0495281148517411	0.1171153815141
261	LM	+1.5°C	70-80 cm	8	0.370957799861984	0.221237674780795	0.078219330045722	0.184959324769454
262	LM	+3.0°C	0-10 cm	8	0.148288199122334	0.213675267360719	0.0755456152613066	0.178636993948383
262	LM	+3.0°C	10-20 cm	8	0.425753431318214	0.309198638987097	0.109318227180714	0.258496531132645
262	LM	+3.0°C	20-30 cm	8	0.89113479736771	0.148194205319491	0.0523945637569819	0.123893456111384
262	LM	+3.0°C	30-40 cm	8	0.984811966711192	0.0163189430488061	0.00576961764580394	0.0136429778076857
262	LM	+3.0°C	40-50 cm	8	0.912682993210698	0.147532025510692	0.0521604478403986	0.123339859937347
262	LM	+3.0°C	50-60 cm	8	0.743729595117361	0.281413165473069	0.0994945788105897	0.23526729395753
262	LM	+3.0°C	60-70 cm	8	0.647726869150822	0.19390146917315	0.0685545218671845	0.162105684963492
262	LM	+3.0°C	70-80 cm	8	0.410463162652917	0.222667578126683	0.0787248772218816	0.186154753882525
370	HM	ambient	0-10 cm	8	0.012993855016472	0.0175732858238688	0.00621309478689352	0.0146916346105331
370	HM	ambient	10-20 cm	8	0.209550800087088	0.144232093731555	0.0509937457711582	0.120581047930038
370	HM	ambient	20-30 cm	8	0.324960693322355	0.132075395823647	0.046695704007399	0.110417794141094
370	HM	ambient	30-40 cm	8	0.558599219218878	0.115067128580572	0.0406823734554933	0.096198526885214
370	HM	ambient	40-50 cm	8	0.608501025250179	0.123405745090688	0.0436305195955021	0.103169784745118
370	HM	ambient	50-60 cm	8	0.504960747320575	0.132360376581131	0.0467964599204613	0.110656044016612
370	HM	ambient	60-70 cm	8	0.334239121561472	0.182973993944303	0.0646910759494014	0.152970087051585
370	HM	ambient	70-80 cm	8	0.0815911079847725	0.0460822214220308	0.016292525629829	0.0385257012239906
371	HM	+1.5°C	0-10 cm	8	0.00820330158214021	0.0063140607517738	0.00223235758720154	0.00527868688892391
371	HM	+1.5°C	10-20 cm	8	0.24229825505233	0.199689513085248	0.0706009044172095	0.166944610769318
371	HM	+1.5°C	20-30 cm	8	0.66016210546119	0.318458548247091	0.112592099496171	0.266238009006393
