ID	Zone	Depth	Treatment	Subplot	Year	Tray	FW	DW	Muffle	OM_1	OM/FW	OM
391-30-A2	HM	30	+1.5C	A2	2021	21.083	27.165	26.368	26.06	0.308	0.050641236	5.0641236
391-50-A	HM	50	+1.5C	A	2021	22.517	31.904	29.937	29.628	0.309	0.032917865	3.2917865
391-50-A2	HM	50	+1.5C	A2	2021	20.22	25.413	23.719	23.601	0.118	0.022722896	2.2722896
392-05-A	HM	5	+3.0C	A	2021	19.625	20.341	20.028	19.98	0.048	0.067039106	6.7039106
392-05-A2	HM	5	+3.0C	A2	2021	20.17	21.63	21.37	21.217	0.153	0.104794521	10.4794521
392-10-A	HM	10	+3.0C	A	2021	19.798	23.223	21.78	21.587	0.193	0.056350365	5.6350365
392-10-A2	HM	10	+3.0C	A2	2021	21.012	23.129	22.906	22.57	0.336	0.158715163	15.8715163
392-30-A	HM	30	+3.0C	A	2021	20.479	26.642	24.609	24.35	0.259	0.042024988	4.2024988
392-30-A2	HM	30	+3.0C	A2	2021	19.547	24.648	23.267	22.965	0.302	0.059204078	5.9204078
392-50-A	HM	50	+3.0C	A	2021	20.199	28.923	26.69	26.414	0.276	0.031636864	3.1636864
392-50-A2	HM	50	+3.0C	A2	2021	19.756	28.767	27.471	27.182	0.289	0.032071912	3.2071912
