Year	Depth	Zone	Treatment	Plot	OM	Conductivity	pH
2024	10	HM	ambient	390	10.136	5.36	7.764
2024	20	HM	ambient	390	6.907	4.81	7.762
2024	30	HM	ambient	390			
2024	40	HM	ambient	390	3.052	2.62	8.067
2024	50	HM	ambient	390			
2024	60	HM	ambient	390	3.504		
2024	70	HM	ambient	390			
2024	80	HM	ambient	390	2.199	3.07	8.149
2024	90	HM	ambient	390			
2024	100	HM	ambient	390	3.409		
2024	10	HM	+1.5C	391	10.196	6.87	7.636
2024	20	HM	+1.5C	391	4.112	3.12	7.968
2024	30	HM	+1.5C	391			
2024	40	HM	+1.5C	391	3.058	2.35	8.117
2024	50	HM	+1.5C	391			
2024	60	HM	+1.5C	391	3.711		
2024	70	HM	+1.5C	391			
2024	80	HM	+1.5C	391	2.45	3.16	8.179
2024	90	HM	+1.5C	391			
2024	100	HM	+1.5C	391	3.414		
2024	10	HM	+3.0C	392	10.176	5.04	7.733
2024	20	HM	+3.0C	392	6.841	4.35	7.651
2024	30	HM	+3.0C	392			
2024	40	HM	+3.0C	392	2.653	2.27	7.995
2024	50	HM	+3.0C	392			
2024	60	HM	+3.0C	392	2.607		
2024	70	HM	+3.0C	392			
2024	80	HM	+3.0C	392	2.202	3.05	8.101
2024	90	HM	+3.0C	392			
2024	100	HM	+3.0C	392	3.698		
