Zone	Depth	Treatment	Pre soil_1	Post LOI_1	OM
LM	30	ambient	34.25	32.882	3.994160584
LM	35	ambient	28.02	27.03	3.533190578
LM	40	ambient	36.96	35.484	3.993506494
LM	45	ambient	28.41	27.582	2.914466737
LM	50	ambient	38.21	37.166	2.73226904
LM	55	ambient	31.22	30.248	3.113388853
LM	5	+1.5C	28.9	27.226	5.792387543
LM	10	+1.5C	30.26	28.37	6.245869134
LM	15	+1.5C	29.87	28.304	5.242718447
LM	20	+1.5C	39.11	37.598	3.866018921
LM	25	+1.5C	38.79	37.404	3.573085847
LM	30	+1.5C	42.77	41.06	3.99812953
LM	35	+1.5C	25.55	24.452	4.297455969
LM	40	+1.5C	33.17	31.532	4.938197166
LM	45	+1.5C	33.3	32.04	3.783783784
LM	50	+1.5C	39.52	38.08	3.643724696
LM	55	+1.5C	30.36	29.244	3.675889328
LM	5	+3.0C	28.62	26.64	6.918238994
LM	10	+3.0C	31.57	29.518	6.499841622
LM	15	+3.0C	34.37	32.912	4.242071574
LM	20	+3.0C	25.96	24.772	4.576271186
LM	25	+3.0C	21.98	20.936	4.74977252
LM	30	+3.0C	21.86	21.068	3.62305581
LM	35	+3.0C	33.08	31.874	3.645707376
LM	40	+3.0C	38.21	36.914	3.391782256
LM	45	+3.0C	37.65	35.994	4.398406375
LM	50	+3.0C	24.45	23.46	4.049079755
LM	55	+3.0C	31.97	30.566	4.391617141
HM	5	ambient	20.24	18.239	9.886363636
HM	10	ambient	38.11	34.862	8.522697455
HM	15	ambient	24.04	22.358	6.996672213
HM	20	ambient	29.64	27.755	6.359649123
HM	25	ambient	40.45	37.84	6.452410383
HM	30	ambient	30.14	27.791	7.793629728
HM	35	ambient	35.49	32.967	7.109044801
HM	40	ambient	27.08	25.253	6.746676514
HM	45	ambient	27.91	26.605	4.675743461
HM	50	ambient	36.33	34.619	4.709606386
HM	55	ambient	35.84	33.984	5.178571429
HM	5	+1.5C	22.24	19.717	11.34442446
HM	10	+1.5C	32.72	29.53	9.749388753
HM	15	+1.5C	31.63	29.136	7.88491938
HM	20	+1.5C	36.04	33.314	7.56381798
HM	25	+1.5C	41.25	38.031	7.803636364
HM	30	+1.5C	27.23	25.548	6.17701065
HM	35	+1.5C	35.55	33.085	6.933895921
HM	40	+1.5C	42.06	38.899	7.515454113
HM	45	+1.5C	41.19	38.696	6.054867686
HM	50	+1.5C	33.19	31.653	4.630912926
HM	55	+1.5C	37.55	35.926	4.324900133
HM	5	+3.0C	27.72	24.849	10.35714286
HM	10	+3.0C	23.09	21.118	8.54049372
HM	15	+3.0C	28.46	26.198	7.947997189
HM	20	+3.0C	19.69	18.588	5.596749619
HM	25	+3.0C	26.01	24.125	7.247212611
HM	30	+3.0C	32.83	30.597	6.801705757
HM	35	+3.0C	25.31	23.57	6.874753062
HM	40	+3.0C	40.45	37.927	6.237330037
HM	45	+3.0C	29.51	28.06	4.913588614
HM	50	+3.0C	50.88	48.502	4.673742138
HM	55	+3.0C	30.3	28.734	5.168316832
