sample_name	ID_num	ID	ID_RNA	Plot	Subplot	Depth	Zone	Treatment	Sampling date
X81	385	261(A2)0-5	A0	261	A	0-5 cm	LM	1.5	13.09.2022
X82	386	261(A2)5-10	A1	261	A	5-10 cm	LM	1.5	13.09.2022
X83	387	261(A2)20-30	A2	261	A	20-30 cm	LM	1.5	13.09.2022
X84	388	261(A2)40-50	A3	261	A	40-50 cm	LM	1.5	13.09.2022
X85	390	261(A2)80-100	A4	261	A	80-100 cm	LM	1.5	13.09.2022
X86	409	262(A2)0-5	A0	262	A	0-5 cm	LM	3	13.09.2022
X87	410	262(A2)5-10	A1	262	A	5-10 cm	LM	3	13.09.2022
X88	411	262(A2)20-30	A2	262	A	20-30 cm	LM	3	13.09.2022
X89	412	262(A2)40-50	A3	262	A	40-50 cm	LM	3	13.09.2022
X90	414	262(A2)80-100	A4	262	A	80-100 cm	LM	3	13.09.2022
X91	433	370(A2)0-5	A0	370	A	0-5 cm	HM	ambient	12.09.2022
X92	434	370(A2)5-10	A1	370	A	5-10 cm	HM	ambient	12.09.2022
X93	435	370(A2)20-30	A2	370	A	20-30 cm	HM	ambient	12.09.2022
X94	436	370(A2)40-50	A3	370	A	40-50 cm	HM	ambient	12.09.2022
X95	438	370(A2)80-100	A4	370	A	80-100 cm	HM	ambient	12.09.2022
X96	457	371(A2)0-5	A0	371	A	0-5 cm	HM	1.5	12.09.2022
X97	458	371(A2)5-10	A1	371	A	5-10 cm	HM	1.5	12.09.2022
X98	459	371(A2)20-30	A2	371	A	20-30 cm	HM	1.5	12.09.2022
X99	460	371(A2)40-50	A3	371	A	40-50 cm	HM	1.5	12.09.2022
X100	462	371(A2)80-100	A4	371	A	80-100 cm	HM	1.5	12.09.2022
X101	481	372(A2)0-5	A0	372	A	0-5 cm	HM	3	12.09.2022
X102	482	372(A2)5-10	A1	372	A	5-10 cm	HM	3	12.09.2022
X103	483	372(A2)20-30	A2	372	A	20-30 cm	HM	3	12.09.2022
X104	484	372(A2)40-50	A3	372	A	40-50 cm	HM	3	12.09.2022
X105	486	372(A2)80-100	A4	372	A	80-100 cm	HM	3	12.09.2022
X106	505	380(A2)0-5	A0	380	A	0-5 cm	HM	ambient	12.09.2022
X107	506	380(A2)5-10	A1	380	A	5-10 cm	HM	ambient	12.09.2022
X108	507	380(A2)20-30	A2	380	A	20-30 cm	HM	ambient	12.09.2022
X109	508	380(A2)40-50	A3	380	A	40-50 cm	HM	ambient	14.09.2022
X110	510	380(A2)80-100	A4	380	A	80-100 cm	HM	ambient	14.09.2022
X111	529	381(A2)0-5	A0	381	A	0-5 cm	HM	1.5	14.09.2022
X112	530	381(A2)5-10	A1	381	A	5-10 cm	HM	1.5	14.09.2022
X113	531	381(A2)20-30	A2	381	A	20-30 cm	HM	1.5	14.09.2022
X114	532	381(A2)40-50	A3	381	A	40-50 cm	HM	1.5	14.09.2022
X115	534	381(A2)80-100	A4	381	A	80-100 cm	HM	1.5	15.09.2022
X116	553	382(A2)0-5	A0	382	A	0-5 cm	HM	3	15.09.2022
X117	554	382(A2)5-10	A1	382	A	5-10 cm	HM	3	15.09.2022
X118	555	382(A2)20-30	A2	382	A	20-30 cm	HM	3	15.09.2022
X119	556	382(A2)40-50	A3	382	A	40-50 cm	HM	3	15.09.2022
X120	558	382(A2)80-100	A4	382	A	80-100 cm	HM	3	15.09.2022
X121	577	390(A2)0-5	A0	390	A	0-5 cm	HM	ambient	15.09.2022
X122	578	390(A2)5-10	A1	390	A	5-10 cm	HM	ambient	15.09.2022
X123	579	390(A2)20-30	A2	390	A	20-30 cm	HM	ambient	15.09.2022
X124	580	390(A2)40-50	A3	390	A	40-50 cm	HM	ambient	15.09.2022
X125	582	390(A2)80-100	A4	390	A	80-100 cm	HM	ambient	15.09.2022
X126	601	391(A2)0-5	A0	391	A	0-5 cm	HM	1.5	15.09.2022
X127	602	391(A2)5-10	A1	391	A	5-10 cm	HM	1.5	15.09.2022
X128	603	391(A2)20-30	A2	391	A	20-30 cm	HM	1.5	15.09.2022
X129	604	391(A2)40-50	A3	391	A	40-50 cm	HM	1.5	15.09.2022
X130	606	391(A2)80-100	A4	391	A	80-100 cm	HM	1.5	15.09.2022
X131	625	392(A2)0-5	A0	392	A	0-5 cm	HM	3	15.09.2022
X132	626	392(A2)5-10	A1	392	A	5-10 cm	HM	3	15.09.2022
X133	627	392(A2)20-30	A2	392	A	20-30 cm	HM	3	15.09.2022
X134	628	392(A2)40-50	A3	392	A	40-50 cm	HM	3	15.09.2022
X135	630	392(A2)80-100	A4	392	A	80-100 cm	HM	3	15.09.2022
